area,furnishingstatus,price,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
4920,semi-furnished,4403000,3,1,2,yes,no,no,no,no,1,no
4950,semi-furnished,4382000,4,1,2,yes,no,no,no,yes,0,no
3900,unfurnished,4375000,3,1,2,yes,no,no,no,no,0,no
4500,furnished,4340000,3,2,3,yes,no,no,yes,no,1,no
1905,semi-furnished,4340000,5,1,2,no,no,yes,no,no,0,no
4075,semi-furnished,4340000,3,1,1,yes,yes,yes,no,no,2,no
3500,furnished,4340000,4,1,2,yes,no,no,no,no,2,no
6450,semi-furnished,4340000,4,1,2,yes,no,no,no,no,0,no
4032,furnished,4319000,2,1,1,yes,no,yes,no,no,0,no
4400,semi-furnished,4305000,2,1,1,yes,no,no,no,no,1,no
10360,semi-furnished,4305000,2,1,1,yes,no,no,no,no,1,yes
3400,semi-furnished,4277000,3,1,2,yes,no,yes,no,no,2,yes
6360,furnished,4270000,2,1,1,yes,no,no,no,no,0,no
6360,unfurnished,4270000,2,1,2,yes,no,no,no,no,0,no
4500,furnished,4270000,2,1,1,yes,no,no,no,yes,2,no
2175,unfurnished,4270000,3,1,2,no,yes,yes,no,yes,0,no
4360,furnished,4270000,4,1,2,yes,no,no,no,no,0,no
7770,furnished,4270000,2,1,1,yes,no,no,no,no,1,no
6650,semi-furnished,4235000,3,1,2,yes,yes,no,no,no,0,no
2787,furnished,4235000,3,1,1,yes,no,yes,no,no,0,yes
5500,unfurnished,4200000,3,1,2,yes,no,no,no,yes,0,no
5040,unfurnished,4200000,3,1,2,yes,no,yes,no,yes,0,no
5850,semi-furnished,4200000,2,1,1,yes,yes,yes,no,no,2,no
2610,semi-furnished,4200000,4,3,2,no,no,no,no,no,0,no
2953,unfurnished,4200000,3,1,2,yes,no,yes,no,yes,0,no
2747,semi-furnished,4200000,4,2,2,no,no,no,no,no,0,no
4410,unfurnished,4200000,2,1,1,no,no,no,no,no,1,no
4000,semi-furnished,4200000,4,2,2,no,no,no,no,no,0,no
2325,semi-furnished,4200000,3,1,2,no,no,no,no,no,0,no
4600,semi-furnished,4200000,3,2,2,yes,no,no,no,yes,1,no
3640,unfurnished,4200000,3,2,2,yes,no,yes,no,no,0,no
5800,semi-furnished,4200000,3,1,1,yes,no,no,yes,no,2,no
7000,furnished,4200000,3,1,1,yes,no,no,no,no,3,no
4079,semi-furnished,4200000,3,1,3,yes,no,no,no,no,0,no
3520,semi-furnished,4200000,3,1,2,yes,no,no,no,no,0,yes
2145,unfurnished,4200000,3,1,3,yes,no,no,no,no,1,yes
4500,furnished,4200000,3,1,1,yes,no,yes,no,no,0,no
8250,semi-furnished,4193000,3,1,1,yes,no,yes,no,no,3,no
3450,semi-furnished,4193000,3,1,2,yes,no,no,no,no,1,no
4840,semi-furnished,4165000,3,1,2,yes,no,no,no,no,1,no
4080,semi-furnished,4165000,3,1,2,yes,no,no,no,no,2,no
4046,semi-furnished,4165000,3,1,2,yes,no,yes,no,no,1,no
4632,semi-furnished,4130000,4,1,2,yes,no,no,no,yes,0,no
5985,semi-furnished,4130000,3,1,1,yes,no,yes,no,no,0,no
6060,semi-furnished,4123000,2,1,1,yes,no,yes,no,no,1,no
3600,furnished,4098500,3,1,1,yes,no,yes,no,yes,0,yes
3680,semi-furnished,4095000,3,2,2,yes,no,no,no,no,0,no
4040,semi-furnished,4095000,2,1,2,yes,no,no,no,no,1,no
5600,semi-furnished,4095000,2,1,1,yes,no,no,no,yes,0,no
5900,unfurnished,4060000,4,2,2,no,no,yes,no,no,1,no
4992,unfurnished,4060000,3,2,2,yes,no,no,no,no,2,no
4340,semi-furnished,4060000,3,1,1,yes,no,no,no,no,0,no
3000,semi-furnished,4060000,4,1,3,yes,no,yes,no,yes,2,no
4320,furnished,4060000,3,1,2,yes,no,no,no,no,2,yes
3630,semi-furnished,4025000,3,2,2,yes,no,no,yes,no,2,no
3460,furnished,4025000,3,2,1,yes,no,yes,no,yes,1,no
5400,semi-furnished,4025000,3,1,1,yes,no,no,no,no,3,no
4500,semi-furnished,4007500,3,1,2,no,no,yes,no,yes,0,no
3460,semi-furnished,4007500,4,1,2,yes,no,no,no,yes,0,no
4100,unfurnished,3990000,4,1,1,no,no,yes,no,no,0,no
6480,semi-furnished,3990000,3,1,2,no,no,no,no,yes,1,no
4500,semi-furnished,3990000,3,2,2,no,no,yes,no,yes,0,no
3960,furnished,3990000,3,1,2,yes,no,no,no,no,0,no
4050,unfurnished,3990000,2,1,2,yes,yes,yes,no,no,0,yes
7260,furnished,3920000,3,2,1,yes,yes,yes,no,no,3,no
5500,semi-furnished,3920000,4,1,2,yes,yes,yes,no,no,0,no
3000,semi-furnished,3920000,3,1,2,yes,no,no,no,no,0,no
3290,furnished,3920000,2,1,1,yes,no,no,yes,no,1,no
3816,furnished,3920000,2,1,1,yes,no,yes,no,yes,2,no
8080,semi-furnished,3920000,3,1,1,yes,no,no,no,yes,2,no
2145,unfurnished,3920000,4,2,1,yes,no,yes,no,no,0,yes
3780,semi-furnished,3885000,2,1,2,yes,yes,yes,no,no,0,no
3180,furnished,3885000,4,2,2,yes,no,no,no,no,0,no
5300,semi-furnished,3850000,5,2,2,yes,no,no,no,no,0,no
3180,semi-furnished,3850000,2,2,1,yes,no,yes,no,no,2,no
7152,furnished,3850000,3,1,2,yes,no,no,no,yes,0,no
4080,semi-furnished,3850000,2,1,1,yes,no,no,no,no,0,no
3850,semi-furnished,3850000,2,1,1,yes,no,no,no,no,0,no
2015,semi-furnished,3850000,3,1,2,yes,no,yes,no,no,0,yes
2176,semi-furnished,3850000,2,1,2,yes,yes,no,no,no,0,yes
3350,unfurnished,3836000,3,1,2,yes,no,no,no,no,0,no
3150,semi-furnished,3815000,2,2,1,no,no,yes,no,no,0,no
4820,semi-furnished,3780000,3,1,2,yes,no,no,no,no,0,no
3420,semi-furnished,3780000,2,1,2,yes,no,no,yes,no,1,no
3600,semi-furnished,3780000,2,1,1,yes,no,no,no,no,0,no
5830,unfurnished,3780000,2,1,1,yes,no,no,no,no,2,no
2856,furnished,3780000,3,1,3,yes,no,no,no,no,0,yes
8400,furnished,3780000,2,1,1,yes,no,no,no,no,1,no
8250,furnished,3773000,3,1,1,yes,no,no,no,no,2,no
2520,furnished,3773000,5,2,1,no,no,yes,no,yes,1,no
6930,furnished,3773000,4,1,2,no,no,no,no,no,1,no
3480,semi-furnished,3745000,2,1,1,yes,no,no,no,no,0,yes
3600,unfurnished,3710000,3,1,1,yes,no,no,no,no,1,no
4040,semi-furnished,3710000,2,1,1,yes,no,no,no,no,0,no
6020,semi-furnished,3710000,3,1,1,yes,no,no,no,no,0,no
4050,furnished,3710000,2,1,1,yes,no,no,no,no,0,no
3584,semi-furnished,3710000,2,1,1,yes,no,no,yes,no,0,no
3120,semi-furnished,3703000,3,1,2,no,no,yes,yes,no,0,no
5450,furnished,3703000,2,1,1,yes,no,no,no,no,0,no
3630,furnished,3675000,2,1,1,yes,no,yes,no,no,0,no
3630,unfurnished,3675000,2,1,1,yes,no,no,no,yes,0,no
5640,semi-furnished,3675000,2,1,1,no,no,no,no,no,0,no
3600,furnished,3675000,2,1,1,yes,no,no,no,no,0,no
4280,semi-furnished,3640000,2,1,1,yes,no,no,no,yes,2,no
3570,semi-furnished,3640000,3,1,2,yes,no,yes,no,no,0,no
3180,semi-furnished,3640000,3,1,2,no,no,yes,no,no,0,no
3000,furnished,3640000,2,1,2,yes,no,no,no,yes,0,no
3520,semi-furnished,3640000,2,2,1,yes,no,yes,no,no,0,no
5960,unfurnished,3640000,3,1,2,yes,yes,yes,no,no,0,no
4130,semi-furnished,3640000,3,2,2,yes,no,no,no,no,2,no
2850,unfurnished,3640000,3,2,2,no,no,yes,no,no,0,yes
2275,semi-furnished,3640000,3,1,3,yes,no,no,yes,yes,0,yes
3520,unfurnished,3633000,3,1,1,yes,no,no,no,no,2,yes
4500,semi-furnished,3605000,2,1,1,yes,no,no,no,no,0,no
4000,semi-furnished,3605000,2,1,1,yes,no,no,no,no,0,yes
3150,furnished,3570000,3,1,2,yes,no,yes,no,no,0,no
4500,furnished,3570000,4,2,2,yes,no,yes,no,no,2,no
4500,furnished,3570000,2,1,1,no,no,no,no,no,0,no
3640,unfurnished,3570000,2,1,1,yes,no,no,no,no,0,no
3850,unfurnished,3535000,3,1,1,yes,no,no,no,no,2,no
4240,semi-furnished,3500000,3,1,2,yes,no,no,no,yes,0,no
3650,unfurnished,3500000,3,1,2,yes,no,no,no,no,0,no
4600,semi-furnished,3500000,4,1,2,yes,no,no,no,no,0,no
2135,unfurnished,3500000,3,2,2,no,no,no,no,no,0,no
3036,semi-furnished,3500000,3,1,2,yes,no,yes,no,no,0,no
3990,semi-furnished,3500000,3,1,2,yes,no,no,no,no,0,no
7424,unfurnished,3500000,3,1,1,no,no,no,no,no,0,no
3480,unfurnished,3500000,3,1,1,no,no,no,no,yes,0,no
3600,unfurnished,3500000,6,1,2,yes,no,no,no,no,1,no
3640,semi-furnished,3500000,2,1,1,yes,no,no,no,no,1,no
5900,furnished,3500000,2,1,1,yes,no,no,no,no,1,no
3120,unfurnished,3500000,3,1,2,yes,no,no,no,no,1,no
7350,semi-furnished,3500000,2,1,1,yes,no,no,no,no,1,no
3512,unfurnished,3500000,2,1,1,yes,no,no,no,no,1,yes
9500,unfurnished,3500000,3,1,2,yes,no,no,no,no,3,yes
5880,unfurnished,3500000,2,1,1,yes,no,no,no,no,0,no
12944,unfurnished,3500000,3,1,1,yes,no,no,no,no,0,no
4900,unfurnished,3493000,3,1,2,no,no,no,no,no,0,no
3060,unfurnished,3465000,3,1,1,yes,no,no,no,no,0,no
5320,unfurnished,3465000,2,1,1,yes,no,no,no,no,1,yes
2145,furnished,3465000,3,1,3,yes,no,no,no,no,0,yes
4000,unfurnished,3430000,2,1,1,yes,no,no,no,no,0,no
3185,unfurnished,3430000,2,1,1,yes,no,no,no,no,2,no
3850,unfurnished,3430000,3,1,1,yes,no,no,no,no,0,no
2145,furnished,3430000,3,1,3,yes,no,no,no,no,0,yes
2610,unfurnished,3430000,3,1,2,yes,no,yes,no,no,0,yes
1950,unfurnished,3430000,3,2,2,yes,no,yes,no,no,0,yes
4040,unfurnished,3423000,2,1,1,yes,no,no,no,no,0,no
4785,furnished,3395000,3,1,2,yes,yes,yes,no,yes,1,no
3450,unfurnished,3395000,3,1,1,yes,no,yes,no,no,2,no
3640,furnished,3395000,2,1,1,yes,no,no,no,no,0,no
3500,unfurnished,3360000,4,1,2,yes,no,no,no,yes,2,no
4960,semi-furnished,3360000,4,1,3,no,no,no,no,no,0,no
4120,unfurnished,3360000,2,1,2,yes,no,no,no,no,0,no
4750,unfurnished,3360000,2,1,1,yes,no,no,no,no,0,no
3720,unfurnished,3360000,2,1,1,no,no,no,no,yes,0,no
3750,unfurnished,3360000,3,1,1,yes,no,no,no,no,0,no
3100,semi-furnished,3360000,3,1,2,no,no,yes,no,no,0,no
3185,furnished,3360000,2,1,1,yes,no,yes,no,no,2,no
2700,furnished,3353000,3,1,1,no,no,no,no,no,0,no
2145,furnished,3332000,3,1,2,yes,no,yes,no,no,0,yes
4040,unfurnished,3325000,2,1,1,yes,no,no,no,no,1,no
4775,unfurnished,3325000,4,1,2,yes,no,no,no,no,0,no
2500,unfurnished,3290000,2,1,1,no,no,no,no,yes,0,no
3180,unfurnished,3290000,4,1,2,yes,no,yes,no,yes,0,no
6060,furnished,3290000,3,1,1,yes,yes,yes,no,no,0,no
3480,semi-furnished,3290000,4,1,2,no,no,no,no,no,1,no
3792,semi-furnished,3290000,4,1,2,yes,no,no,no,no,0,no
4040,unfurnished,3290000,2,1,1,yes,no,no,no,no,0,no
2145,furnished,3290000,3,1,2,yes,no,yes,no,no,0,yes
5880,unfurnished,3290000,3,1,1,yes,no,no,no,no,1,no
4500,semi-furnished,3255000,2,1,1,no,no,no,no,no,0,no
3930,unfurnished,3255000,2,1,1,no,no,no,no,no,0,no
3640,unfurnished,3234000,4,1,2,yes,no,yes,no,no,0,no
4370,unfurnished,3220000,3,1,2,yes,no,no,no,no,0,no
2684,unfurnished,3220000,2,1,1,yes,no,no,no,yes,1,no
4320,unfurnished,3220000,3,1,1,no,no,no,no,no,1,no
3120,furnished,3220000,3,1,2,no,no,no,no,no,0,no
3450,furnished,3150000,1,1,1,yes,no,no,no,no,0,no
3986,unfurnished,3150000,2,2,1,no,yes,yes,no,no,1,no
3500,semi-furnished,3150000,2,1,1,no,no,yes,no,no,0,no
4095,semi-furnished,3150000,2,1,1,yes,no,no,no,no,2,no
1650,unfurnished,3150000,3,1,2,no,no,yes,no,no,0,no
3450,semi-furnished,3150000,3,1,2,yes,no,yes,no,no,0,no
6750,semi-furnished,3150000,2,1,1,yes,no,no,no,no,0,no
9000,semi-furnished,3150000,3,1,2,yes,no,no,no,no,2,no
3069,unfurnished,3150000,2,1,1,yes,no,no,no,no,1,no
4500,unfurnished,3143000,3,1,2,yes,no,no,no,yes,0,no
5495,unfurnished,3129000,3,1,1,yes,no,yes,no,no,0,no
2398,semi-furnished,3118850,3,1,1,yes,no,no,no,no,0,yes
3000,unfurnished,3115000,3,1,1,no,no,no,no,yes,0,no
3850,unfurnished,3115000,3,1,2,yes,no,no,no,no,0,no
3500,unfurnished,3115000,2,1,1,yes,no,no,no,no,0,no
8100,unfurnished,3087000,2,1,1,yes,no,no,no,no,1,no
4960,unfurnished,3080000,2,1,1,yes,no,yes,no,yes,0,no
2160,semi-furnished,3080000,3,1,2,no,no,yes,no,no,0,no
3090,unfurnished,3080000,2,1,1,yes,yes,yes,no,no,0,no
4500,semi-furnished,3080000,2,1,2,yes,no,no,yes,no,1,no
3800,unfurnished,3045000,2,1,1,yes,no,no,no,no,0,no
3090,semi-furnished,3010000,3,1,2,no,no,no,no,no,0,no
3240,semi-furnished,3010000,3,1,2,yes,no,no,no,no,2,no
2835,semi-furnished,3010000,2,1,1,yes,no,no,no,no,0,no
4600,furnished,3010000,2,1,1,yes,no,no,no,no,0,no
5076,unfurnished,3010000,3,1,1,no,no,no,no,no,0,no
3750,unfurnished,3010000,3,1,2,yes,no,no,no,no,0,no
3630,semi-furnished,3010000,4,1,2,yes,no,no,no,no,3,no
8050,unfurnished,3003000,2,1,1,yes,no,no,no,no,0,no
4352,unfurnished,2975000,4,1,2,no,no,no,no,no,1,no
3000,semi-furnished,2961000,2,1,2,yes,no,no,no,no,0,no
5850,unfurnished,2940000,3,1,2,yes,no,yes,no,no,1,no
4960,unfurnished,2940000,2,1,1,yes,no,no,no,no,0,no
3600,unfurnished,2940000,3,1,2,no,no,no,no,no,1,no
3660,unfurnished,2940000,4,1,2,no,no,no,no,no,0,no
3480,semi-furnished,2940000,3,1,2,no,no,no,no,no,1,no
2700,furnished,2940000,2,1,1,no,no,no,no,no,0,no
3150,unfurnished,2940000,3,1,2,no,no,no,no,no,0,no
6615,semi-furnished,2940000,3,1,2,yes,no,no,no,no,0,no
3040,unfurnished,2870000,2,1,1,no,no,no,no,no,0,no
3630,unfurnished,2870000,2,1,1,yes,no,no,no,no,0,no
6000,semi-furnished,2870000,2,1,1,yes,no,no,no,no,0,no
5400,unfurnished,2870000,4,1,2,yes,no,no,no,no,0,no
5200,unfurnished,2852500,4,1,3,yes,no,no,no,no,0,no
3300,semi-furnished,2835000,3,1,2,no,no,no,no,no,1,no
4350,unfurnished,2835000,3,1,2,no,no,no,yes,no,1,no
2640,furnished,2835000,2,1,1,no,no,no,no,no,1,no
2650,unfurnished,2800000,3,1,2,yes,no,yes,no,no,1,no
3960,furnished,2800000,3,1,1,yes,no,no,no,no,0,no
6800,unfurnished,2730000,2,1,1,yes,no,no,no,no,0,no
4000,unfurnished,2730000,3,1,2,yes,no,no,no,no,1,no
4000,unfurnished,2695000,2,1,1,yes,no,no,no,no,0,no
3934,unfurnished,2660000,2,1,1,yes,no,no,no,no,0,no
2000,semi-furnished,2660000,2,1,2,yes,no,no,no,no,0,no
3630,unfurnished,2660000,3,3,2,no,yes,no,no,no,0,no
2800,unfurnished,2660000,3,1,1,yes,no,no,no,no,0,no
2430,unfurnished,2660000,3,1,1,no,no,no,no,no,0,no
3480,semi-furnished,2660000,2,1,1,yes,no,no,no,no,1,no
4000,semi-furnished,2660000,3,1,1,yes,no,no,no,no,0,no
3185,unfurnished,2653000,2,1,1,yes,no,no,no,yes,0,no
4000,unfurnished,2653000,3,1,2,yes,no,no,no,yes,0,no
2910,unfurnished,2604000,2,1,1,no,no,no,no,no,0,no
3600,unfurnished,2590000,2,1,1,yes,no,no,no,no,0,no
4400,unfurnished,2590000,2,1,1,yes,no,no,no,no,0,no
3600,furnished,2590000,2,2,2,yes,no,yes,no,no,1,no
2880,unfurnished,2520000,3,1,1,no,no,no,no,no,0,no
3180,unfurnished,2520000,3,1,1,no,no,no,no,no,0,no
3000,furnished,2520000,2,1,2,yes,no,no,no,no,0,no
4400,unfurnished,2485000,3,1,2,yes,no,no,no,no,0,no
3000,semi-furnished,2485000,3,1,2,no,no,no,no,no,0,no
3210,unfurnished,2450000,3,1,2,yes,no,yes,no,no,0,no
3240,unfurnished,2450000,2,1,1,no,yes,no,no,no,1,no
3000,unfurnished,2450000,2,1,1,yes,no,no,no,no,1,no
3500,unfurnished,2450000,2,1,1,yes,yes,no,no,no,0,no
4840,unfurnished,2450000,2,1,2,yes,no,no,no,no,0,no
7700,unfurnished,2450000,2,1,1,yes,no,no,no,no,0,no
3635,unfurnished,2408000,2,1,1,no,no,no,no,no,0,no
2475,furnished,2380000,3,1,2,yes,no,no,no,no,0,no
2787,furnished,2380000,4,2,2,yes,no,no,no,no,0,no
3264,unfurnished,2380000,2,1,1,yes,no,no,no,no,0,no
3640,unfurnished,2345000,2,1,1,yes,no,no,no,no,0,no
3180,unfurnished,2310000,2,1,1,yes,no,no,no,no,0,no
1836,semi-furnished,2275000,2,1,1,no,no,yes,no,no,0,no
3970,unfurnished,2275000,1,1,1,no,no,no,no,no,0,no
3970,unfurnished,2275000,3,1,2,yes,no,yes,no,no,0,no
1950,unfurnished,2240000,3,1,1,no,no,no,yes,no,0,no
5300,unfurnished,2233000,3,1,1,no,no,no,no,yes,0,yes
3000,unfurnished,2135000,2,1,1,no,no,no,no,no,0,no
2400,unfurnished,2100000,3,1,2,yes,no,no,no,no,0,no
3000,unfurnished,2100000,4,1,2,yes,no,no,no,no,0,no
3360,unfurnished,2100000,2,1,1,yes,no,no,no,no,1,no
3420,unfurnished,1960000,5,1,2,no,no,no,no,no,0,no
1700,unfurnished,1890000,3,1,2,yes,no,no,no,no,0,no
3649,unfurnished,1890000,2,1,1,yes,no,no,no,no,0,no
2990,unfurnished,1855000,2,1,1,no,no,no,no,no,1,no
3000,unfurnished,1820000,2,1,1,yes,no,yes,no,no,2,no
2400,semi-furnished,1767150,3,1,1,no,no,no,no,no,0,no
3620,unfurnished,1750000,2,1,1,yes,no,no,no,no,0,no
2910,furnished,1750000,3,1,1,no,no,no,no,no,0,no
3850,unfurnished,1750000,3,1,2,yes,no,no,no,no,0,no
